iter	Logloss
0	0.6909033973
1	0.6888635991
2	0.6870495885
3	0.6854049626
4	0.6837847141
5	0.6824804179
6	0.6806717967
7	0.6793241707
8	0.677963715
9	0.6766487687
10	0.6755011643
11	0.6741615869
12	0.6730703232
13	0.6722156762
14	0.6712792128
15	0.6702418612
16	0.6693683396
17	0.6682427467
18	0.6675795519
19	0.6667270392
20	0.6660096439
21	0.6651822291
22	0.6643197588
23	0.6635043536
24	0.6629037129
25	0.6623574319
26	0.6621381479
27	0.6613264137
28	0.6605812573
29	0.660004418
30	0.6591856548
31	0.6584919339
32	0.6577738623
33	0.6571991611
34	0.6568046906
35	0.6563789734
36	0.6557562034
37	0.6553487369
38	0.6547543397
39	0.6543770715
40	0.6541018903
41	0.653782391
42	0.6533606243
43	0.6529911458
44	0.6524958081
45	0.6519831676
46	0.6515062843
47	0.6512040598
48	0.6511580086
49	0.6508594891
50	0.6503724117
51	0.6500611432
52	0.6496605047
53	0.6491522514
54	0.6487970799
55	0.6485075169
56	0.6480442848
57	0.6476856569
58	0.6474583666
59	0.6473504454
60	0.64696778
61	0.6467206378
62	0.6463602916
63	0.6460443269
64	0.6457870827
65	0.6454389613
66	0.6451949679
67	0.6449109223
68	0.6447346142
69	0.644471461
70	0.6441232452
71	0.6439016026
72	0.6436555032
73	0.643453207
74	0.6431628794
75	0.6429709628
76	0.6426249842
77	0.6423721159
78	0.6421888227
79	0.6419664005
80	0.6417109071
81	0.6414520849
82	0.6411595088
83	0.6408119097
84	0.6406524128
85	0.6403483798
86	0.6399976469
87	0.6397687723
88	0.6395583063
89	0.6391853543
90	0.6388636701
91	0.638809644
92	0.6385947789
93	0.638447216
94	0.6382351132
95	0.6380203927
96	0.6379209896
97	0.6378164935
98	0.6376149751
99	0.6373896898
