iter	Passed	Remaining
0	32	3197
1	62	3056
2	95	3077
3	124	2987
4	153	2909
5	181	2849
6	210	2790
7	239	2751
8	268	2712
9	296	2668
10	324	2628
11	353	2590
12	382	2558
13	410	2523
14	439	2488
15	467	2452
16	492	2405
17	521	2374
18	549	2344
19	577	2311
20	606	2281
21	634	2249
22	662	2219
23	692	2191
24	721	2164
25	749	2133
26	755	2041
27	783	2015
28	811	1986
29	840	1960
30	867	1930
31	896	1905
32	924	1877
33	953	1850
34	981	1823
35	1009	1794
36	1037	1766
37	1065	1738
38	1094	1711
39	1123	1685
40	1152	1658
41	1180	1630
42	1209	1602
43	1237	1575
44	1265	1546
45	1293	1519
46	1322	1491
47	1351	1463
48	1355	1411
49	1384	1384
50	1413	1357
51	1444	1333
52	1472	1305
53	1501	1279
54	1529	1251
55	1560	1226
56	1589	1198
57	1617	1171
58	1645	1143
59	1674	1116
60	1702	1088
61	1731	1061
62	1759	1033
63	1788	1005
64	1820	980
65	1847	951
66	1872	922
67	1900	894
68	1929	866
69	1958	839
70	1987	811
71	2016	784
72	2045	756
73	2074	728
74	2102	700
75	2131	673
76	2163	646
77	2193	618
78	2222	590
79	2251	562
80	2279	534
81	2309	506
82	2337	478
83	2366	450
84	2394	422
85	2423	394
86	2450	366
87	2479	338
88	2509	310
89	2537	281
90	2566	253
91	2572	223
92	2601	195
93	2629	167
94	2657	139
95	2686	111
96	2714	83
97	2746	56
98	2773	28
99	2801	0
